20	1800	1	15	0
60	3600	2	50	0
13	1800	1	5	0
60	3600	2	45	0
10	1800	1	3	0
44	3600	2	0	0
25	2200	1	0	0
55	2200	1	0	0
124	3600	2	0	0
24	1800	1	15	0
20	1575	1	10	0
10	1800	1	3	0
14	4500	3	0	0
8	1800	1	0	0
36	4500	3	0	0
80	3600	2	0	0
24	1800	1	0	0
24	1800	1	0	0
42	3600	2	0	0
75	3600	2	0	0
42	1800	1	0	0
88	2200	1	0	0
61	1800	1	45	0
35	1800	1	0	0
35	1800	1	0	0
80	3600	2	70	0
28	1800	1	0	0
28	1800	1	0	0
90	3600	2	0	0
49	1600	1	0	0
15	1600	1	0	0
35	1800	1	0	0
68	3600	2	45	0
24	1800	1	13	0
32	1800	1	18	0
24	1600	1	15	0
72	1800	1	0	0
48	2200	1	0	0
28	1575	1	0	0
24	4500	3	0	0
30	3600	2	20	0
26	4500	3	0	0
25	1800	1	0	0
25	1800	1	0	0
13	1800	1	0	0
22	2200	1	10	0
50	2200	1	0	0
50	1800	1	0	0
12	1600	1	4	0
20	1600	1	10	0
77	1800	1	0	0
77	1800	1	0	0
20	1600	1	10	0
20	1800	1	10	0
16	1600	1	8	0
38	1800	1	0	0
20	1800	1	0	0
20	1800	1	0	0
80	1800	1	60	0
40	1800	1	30	0
